PETSc, serial, CONVERGED, 0.000000, 100, 4, 1, 0.032224, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 100 |
PETSc, serial, CONVERGED, 0.000000, 100, 5, 1, 0.024880, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 100 |
PETSc, parallel, CONVERGED, 0.001060, 100, 5, 2, 0.176270,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 100 |
PETSc, parallel, CONVERGED, 0.001662, 100, 5, 2, 0.117175,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 100 |
PETSc, serial, CONVERGED, 0.000000, 1000, 5, 1, 0.065285, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 1000 |
PETSc, serial, CONVERGED, 0.000000, 1000, 6, 1, 0.112188, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 1000 |
PETSc, parallel, CONVERGED, 0.184624, 1000, 5, 2, 0.221032,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 1000 |
PETSc, parallel, CONVERGED, 0.044301, 1000, 5, 2, 0.291299,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 1000 |
PETSc, serial, CONVERGED, 0.000000, 2000, 6, 1, 0.191961, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 2000 |
PETSc, serial, CONVERGED, 0.000000, 2000, 5, 1, 0.099908, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 2000 |
PETSc, parallel, CONVERGED, 0.000901, 2000, 6, 2, 0.889409,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 2000 |
PETSc, parallel, CONVERGED, 0.425055, 2000, 5, 2, 0.306834,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 2000 |
PETSc, serial, CONVERGED, 0.000000, 3000, 7, 1, 0.334967, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 3000 |
PETSc, serial, CONVERGED, 0.000000, 3000, 7, 1, 0.396250, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 3000 |
PETSc, parallel, CONVERGED, 0.004617, 3000, 7, 2, 12.752855,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 3000 |
PETSc, parallel, CONVERGED, 0.005924, 3000, 6, 2, 9.305328,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 3000 |
PETSc, serial, CONVERGED, 0.000000, 4000, 7, 1, 0.450104, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 4000 |
PETSc, serial, CONVERGED, 0.000000, 4000, 6, 1, 0.486739, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 4000 |
PETSc, parallel, CONVERGED, 0.005947, 4000, 7, 2, 7.209132,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 4000 |
PETSc, parallel, CONVERGED, 4.437150, 4000, 5, 2, 0.997510,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 4000 |
PETSc, serial, CONVERGED, 0.000000, 5000, 6, 1, 0.291007, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 5000 |
PETSc, serial, CONVERGED, 0.000000, 5000, 6, 1, 0.591291, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 5000 |
PETSc, parallel, CONVERGED, 0.027287, 5000, 6, 2, 1.156372,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 5000 |
PETSc, parallel, CONVERGED, 2.047756, 5000, 5, 2, 0.301189,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 5000 |
PETSc, serial, CONVERGED, 0.000000, 6000, 6, 1, 0.294690, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 6000 |
PETSc, serial, CONVERGED, 0.000000, 6000, 6, 1, 0.335962, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 6000 |
PETSc, parallel, CONVERGED, 0.010368, 6000, 7, 2, 6.326290,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 6000 |
PETSc, parallel, CONVERGED, 1.136180, 6000, 6, 2, 2.981545,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 6000 |
PETSc, serial, CONVERGED, 0.000000, 7000, 7, 1, 0.582998, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 7000 |
PETSc, serial, CONVERGED, 0.000000, 7000, 7, 1, 0.604016, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 7000 |
PETSc, parallel, CONVERGED, 0.016508, 7000, 7, 2, 9.449371,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 7000 |
PETSc, parallel, CONVERGED, 0.009569, 7000, 7, 2, 10.928447,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 7000 |
PETSc, serial, CONVERGED, 0.000000, 8000, 7, 1, 0.385299, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 8000 |
PETSc, serial, CONVERGED, 0.000000, 8000, 7, 1, 0.623324, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 8000 |
PETSc, parallel, CONVERGED, 0.252773, 8000, 6, 2, 3.215646,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 8000 |
PETSc, parallel, CONVERGED, 0.021703, 8000, 7, 2, 9.300693,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 8000 |
PETSc, serial, CONVERGED, 0.000000, 9000, 7, 1, 0.506398, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 9000 |
PETSc, serial, CONVERGED, 0.000000, 9000, 6, 1, 0.704836, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 9000 |
PETSc, parallel, CONVERGED, 0.277868, 9000, 6, 2, 3.213534,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 9000 |
PETSc, parallel, CONVERGED, 17.618317, 9000, 5, 2, 0.657093,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 9000 |
PETSc, serial, CONVERGED, 10.000000, 10000, 5, 1, 0.227559, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 10000 |
